slug,tool_name,execution_layer,layer_runner,verdict,issues
alevin_fry,Alevin-fry,lightweight_cli,scripts/run_cli.py,pass,
alphafold,AlphaFold,heavy_launcher_plan,scripts/run_launcher.py,pass,
alphafold_db,AlphaFold DB,source_packet_adapter,scripts/run_launcher.py,pass,
azimuth,Azimuth,r_bioconductor,scripts/run_package.py,pass,
bakta,Bakta,lightweight_cli,scripts/run_cli.py,pass,
bcftools,bcftools,lightweight_cli,scripts/run_cli.py,pass,
bedtools,BEDTools,lightweight_cli,scripts/run_cli.py,pass,
blast,BLAST,lightweight_cli,scripts/run_cli.py,pass,
bowtie2,Bowtie2,lightweight_cli,scripts/run_cli.py,pass,
bracken,Bracken,lightweight_cli,scripts/run_cli.py,pass,
busco,BUSCO,lightweight_cli,scripts/run_cli.py,pass,
bwa,BWA,lightweight_cli,scripts/run_cli.py,pass,
canu,Canu,lightweight_cli,scripts/run_cli.py,pass,
cell2location,cell2location,python_package,scripts/run_package.py,pass,
cell_ranger,Cell Ranger,heavy_launcher_plan,scripts/run_launcher.py,pass,
celltypist,CellTypist,python_package,scripts/run_package.py,pass,
checkm,CheckM,lightweight_cli,scripts/run_cli.py,pass,
chimerax,ChimeraX,heavy_launcher_plan,scripts/run_launcher.py,pass,
clustal_omega,Clustal Omega,lightweight_cli,scripts/run_cli.py,pass,
colabfold,ColabFold,heavy_launcher_plan,scripts/run_launcher.py,pass,
conda,Conda,workflow_runtime,scripts/run_launcher.py,pass,
cutadapt,cutadapt,lightweight_cli,scripts/run_cli.py,pass,
cwl,CWL,workflow_runtime,scripts/run_launcher.py,pass,
dada2,DADA2,r_bioconductor,scripts/run_package.py,pass,
deeptools,deepTools,python_package,scripts/run_package.py,pass,
deepvariant,DeepVariant,heavy_launcher_plan,scripts/run_launcher.py,pass,
deseq2,DESeq2,r_bioconductor,scripts/run_package.py,pass,
dia_nn,DIA-NN,lightweight_cli,scripts/run_cli.py,pass,
diablo,DIABLO,python_package,scripts/run_package.py,pass,
docker,Docker,workflow_runtime,scripts/run_launcher.py,pass,
edger,edgeR,r_bioconductor,scripts/run_package.py,pass,
eggnog_mapper,eggNOG-mapper,lightweight_cli,scripts/run_cli.py,pass,
fastp,fastp,lightweight_cli,scripts/run_cli.py,pass,
fastqc,FastQC,lightweight_cli,scripts/run_cli.py,pass,
fasttree,FastTree,lightweight_cli,scripts/run_cli.py,pass,
featurecounts,featureCounts,lightweight_cli,scripts/run_cli.py,pass,
fimo,FIMO,lightweight_cli,scripts/run_cli.py,pass,
flye,Flye,lightweight_cli,scripts/run_cli.py,pass,
fragpipe,FragPipe,heavy_launcher_plan,scripts/run_launcher.py,pass,
freebayes,FreeBayes,lightweight_cli,scripts/run_cli.py,pass,
galaxy,Galaxy,heavy_launcher_plan,scripts/run_launcher.py,pass,
gatk,GATK,heavy_launcher_plan,scripts/run_launcher.py,pass,
giotto,Giotto,python_package,scripts/run_package.py,pass,
hh_suite,HH-suite,lightweight_cli,scripts/run_cli.py,pass,
hisat2,HISAT2,lightweight_cli,scripts/run_cli.py,pass,
hmmer,HMMER,lightweight_cli,scripts/run_cli.py,pass,
homer,HOMER,lightweight_cli,scripts/run_cli.py,pass,
htslib,HTSlib,lightweight_cli,scripts/run_cli.py,pass,
humann,HUMAnN,lightweight_cli,scripts/run_cli.py,pass,
interproscan,InterProScan,lightweight_cli,scripts/run_cli.py,pass,
iq_tree,IQ-TREE,lightweight_cli,scripts/run_cli.py,pass,
