slug,name,family,execution_layer,package_or_module,returncode,execution_status,verdict,issues,artifact,source_packet
azimuth,Azimuth,single_cell_analysis,r_bioconductor,Azimuth,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/azimuth-package-probe.json,
cell2location,cell2location,spatial_transcriptomics,python_package,cell2location,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/cell2location-package-probe.json,
celltypist,CellTypist,single_cell_analysis,python_package,celltypist,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/celltypist-package-probe.json,
dada2,DADA2,microbiome_metagenomics,r_bioconductor,dada2,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/dada2-package-probe.json,
deeptools,deepTools,epigenomics_peak_calling,python_package,deeptools,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/deeptools-package-probe.json,
deseq2,DESeq2,differential_expression,r_bioconductor,DESeq2,0,executed,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/deseq2-package-probe.json,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/deseq2-package-probe-source-packet.json
diablo,DIABLO,multi_omics_integration,python_package,mixomics,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/diablo-package-probe.json,
edger,edgeR,differential_expression,r_bioconductor,edgeR,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/edger-package-probe.json,
giotto,Giotto,spatial_transcriptomics,python_package,giotto,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/giotto-package-probe.json,
limma_voom,limma-voom,differential_expression,r_bioconductor,limma,0,executed,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/limma_voom-package-probe.json,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/limma_voom-package-probe-source-packet.json
mixomics,mixOmics,multi_omics_integration,r_bioconductor,mixOmics,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/mixomics-package-probe.json,
mofa,MOFA,multi_omics_integration,python_package,mofapy2,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/mofa-package-probe.json,
mofaplus,MOFA+,multi_omics_integration,python_package,mofapy2,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/mofaplus-package-probe.json,
monai,MONAI,imaging_signal_ml,python_package,monai,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/monai-package-probe.json,
scanpy,Scanpy,single_cell_analysis,python_package,scanpy,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/scanpy-package-probe.json,
scvi,scVI,single_cell_analysis,python_package,scvi,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/scvi-package-probe.json,
seurat,Seurat,single_cell_analysis,r_bioconductor,Seurat,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/seurat-package-probe.json,
simpleitk,SimpleITK,imaging_signal_ml,python_package,SimpleITK,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/simpleitk-package-probe.json,
sleuth,sleuth,differential_expression,r_bioconductor,sleuth,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/sleuth-package-probe.json,
squidpy,Squidpy,spatial_transcriptomics,python_package,squidpy,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/squidpy-package-probe.json,
stereoscope,Stereoscope,spatial_transcriptomics,python_package,stereoscope,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/stereoscope-package-probe.json,
stlearn,stLearn,spatial_transcriptomics,python_package,stlearn,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/stlearn-package-probe.json,
tangram,Tangram,spatial_transcriptomics,python_package,tangram,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/tangram-package-probe.json,
torchio,TorchIO,imaging_signal_ml,python_package,torchio,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/torchio-package-probe.json,
wgcna,WGCNA,multi_omics_integration,r_bioconductor,WGCNA,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/wgcna-package-probe.json,
xcms,XCMS,proteomics_metabolomics,r_bioconductor,xcms,0,not_available_current_environment,pass,,skills/ocean/evals/bioinformatics-package-runner-r1-artifacts/xcms-package-probe.json,
