slug,name,family,verdict,best_interface
alevin_fry,Alevin-fry,single_cell_analysis,not_available_current_environment,none_found
alphafold,AlphaFold,structure_modeling,not_available_current_environment,none_found
alphafold_db,AlphaFold DB,structure_modeling,executed,ocean_local_adapter
azimuth,Azimuth,single_cell_analysis,not_available_current_environment,r_package
bakta,Bakta,genome_assembly_annotation,not_available_current_environment,none_found
bcftools,bcftools,alignment_file_operations,not_available_current_environment,none_found
bedtools,BEDTools,alignment_file_operations,not_available_current_environment,none_found
blast,BLAST,sequence_alignment,not_available_current_environment,none_found
bowtie2,Bowtie2,sequence_alignment,not_available_current_environment,none_found
bracken,Bracken,microbiome_metagenomics,not_available_current_environment,none_found
busco,BUSCO,genome_assembly_annotation,not_available_current_environment,none_found
bwa,BWA,sequence_alignment,not_available_current_environment,none_found
canu,Canu,genome_assembly_annotation,not_available_current_environment,none_found
cell2location,cell2location,spatial_transcriptomics,not_available_current_environment,python_import
cell_ranger,Cell Ranger,single_cell_analysis,not_available_current_environment,none_found
celltypist,CellTypist,single_cell_analysis,not_available_current_environment,python_import
checkm,CheckM,genome_assembly_annotation,not_available_current_environment,none_found
chimerax,ChimeraX,structure_modeling,not_available_current_environment,none_found
clustal_omega,Clustal Omega,phylogenetics_comparative_genomics,not_available_current_environment,none_found
colabfold,ColabFold,structure_modeling,not_available_current_environment,none_found
conda,Conda,workflow_reproducibility,not_available_current_environment,none_found
cutadapt,cutadapt,qc_preprocessing,not_available_current_environment,none_found
cwl,CWL,workflow_reproducibility,not_available_current_environment,none_found
dada2,DADA2,microbiome_metagenomics,not_available_current_environment,r_package
deeptools,deepTools,epigenomics_peak_calling,not_available_current_environment,python_import
deepvariant,DeepVariant,variant_calling,not_available_current_environment,none_found
deseq2,DESeq2,differential_expression,executed,r_package
dia_nn,DIA-NN,proteomics_metabolomics,not_available_current_environment,none_found
diablo,DIABLO,multi_omics_integration,not_available_current_environment,python_import
docker,Docker,workflow_reproducibility,not_available_current_environment,none_found
edger,edgeR,differential_expression,not_available_current_environment,r_package
eggnog_mapper,eggNOG-mapper,genome_assembly_annotation,not_available_current_environment,none_found
fastp,fastp,qc_preprocessing,not_available_current_environment,none_found
fastqc,FastQC,qc_preprocessing,not_available_current_environment,none_found
fasttree,FastTree,phylogenetics_comparative_genomics,not_available_current_environment,none_found
featurecounts,featureCounts,rna_seq_quantification,not_available_current_environment,none_found
fimo,FIMO,epigenomics_peak_calling,not_available_current_environment,none_found
flye,Flye,genome_assembly_annotation,not_available_current_environment,none_found
fragpipe,FragPipe,proteomics_metabolomics,not_available_current_environment,none_found
freebayes,FreeBayes,variant_calling,not_available_current_environment,none_found
galaxy,Galaxy,workflow_reproducibility,not_available_current_environment,none_found
gatk,GATK,variant_calling,not_available_current_environment,none_found
giotto,Giotto,spatial_transcriptomics,not_available_current_environment,python_import
hh_suite,HH-suite,structure_modeling,not_available_current_environment,none_found
hisat2,HISAT2,spliced_rna_alignment,not_available_current_environment,none_found
hmmer,HMMER,structure_modeling,not_available_current_environment,none_found
homer,HOMER,epigenomics_peak_calling,not_available_current_environment,none_found
htslib,HTSlib,alignment_file_operations,not_available_current_environment,none_found
humann,HUMAnN,microbiome_metagenomics,not_available_current_environment,none_found
interproscan,InterProScan,genome_assembly_annotation,not_available_current_environment,none_found
iq_tree,IQ-TREE,phylogenetics_comparative_genomics,not_available_current_environment,none_found
