slug,adapter,label,family,mode,static_ok,query_status,records_inspected,packet_ok,verdict,artifact,notes
alphafold_db,alphafold-db,AlphaFold DB,structure_modeling,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/alphafold_db-reef-packet.json,
chembl,chembl,ChEMBL,drug_target,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/chembl-reef-packet.json,
clinicaltrials,clinicaltrials,ClinicalTrials.gov,clinical_registry,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/clinicaltrials-reef-packet.json,
clinvar,clinvar,ClinVar,variant_clinical_annotation,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/clinvar-reef-packet.json,
europepmc,europepmc,Europe PMC,literature_metadata,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/europepmc-reef-packet.json,
gnomad,gnomad,gnomAD,population_genetics,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/gnomad-reef-packet.json,
ncbi_eutils,ncbi-eutils,NCBI E-utilities,entrez_metadata,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/ncbi_eutils-reef-packet.json,
opentargets,opentargets,Open Targets,drug_target,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/opentargets-reef-packet.json,
pubmed,pubmed,PubMed,literature_metadata,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/pubmed-reef-packet.json,
quickgo,quickgo,QuickGO,ontology,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/quickgo-reef-packet.json,
reactome,reactome,Reactome,pathway,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/reactome-reef-packet.json,
string,string,STRING,protein_interaction,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/string-reef-packet.json,
uniprot,uniprot,UniProt,protein_annotation,live,True,executed,1,True,pass,skills/ocean/evals/database-tool-adapter-r1-live-artifacts/uniprot-reef-packet.json,
